      Step     Time          Energy          fmax
BFGS:    0 10:50:29       13.120491       45.685182
BFGS:    1 10:50:29        5.956248        3.122552
BFGS:    2 10:50:29        5.857224        2.357691
BFGS:    3 10:50:29        5.711196        0.531185
BFGS:    4 10:50:29        5.699470        0.416625
BFGS:    5 10:50:29        5.688735        0.482259
BFGS:    6 10:50:29        5.673603        0.478818
BFGS:    7 10:50:29        5.658591        0.358570
BFGS:    8 10:50:29        5.650403        0.167802
BFGS:    9 10:50:29        5.647326        0.088359
BFGS:   10 10:50:29        5.645824        0.106777
BFGS:   11 10:50:29        5.644467        0.138040
BFGS:   12 10:50:29        5.643315        0.098793
BFGS:   13 10:50:29        5.642599        0.071666
BFGS:   14 10:50:29        5.642077        0.060825
BFGS:   15 10:50:29        5.641579        0.063753
BFGS:   16 10:50:29        5.641204        0.056174
BFGS:   17 10:50:29        5.641024        0.022855
